"year","country","c"
2000,"Faroe Islands",3
2000,"Germany",1
2000,"Iceland",3209
2000,"Norway",67
2000,"UK",5
2001,"Faroe Islands",370
2001,"Germany",2
2001,"Iceland",2872
2001,"Norway",116
2001,"UK",1
2002,"Faroe Islands",1631
2002,"Iceland",2843
2002,"Norway",45
2003,"Faroe Islands",570
2003,"Germany",2
2003,"Iceland",3585
2003,"Norway",108
2003,"UK",5
2004,"Faroe Islands",739
2004,"Germany",1
2004,"Iceland",3727
2004,"Norway",139
2005,"Faroe Islands",682
2005,"Germany",3
2005,"Iceland",4313
2005,"Norway",180
2005,"UK",20
2006,"Faroe Islands",962
2006,"Germany",1
2006,"Iceland",6283
2006,"Norway",158
2006,"UK",0
2007,"Faroe Islands",807
2007,"Iceland",6599
2007,"Norway",185
2007,"UK",0
2008,"Faroe Islands",1366
2008,"Iceland",7738
2008,"Norway",179
2009,"Faroe Islands",1157
2009,"Iceland",9616
2009,"Norway",172
2010,"Faroe Islands",1095
2010,"Germany",1
2010,"Iceland",9868
2010,"Norway",168
2011,"Faroe Islands",588
2011,"Iceland",8789
2011,"Norway",249
2012,"Faroe Islands",875
2012,"Iceland",10695
2012,"Norway",248
2013,"Faroe Islands",1030
2013,"Iceland",10198
2013,"Norway",294
2014,"Faroe Islands",1738
2014,"Iceland",12350
2014,"Norway",158
2015,"Faroe Islands",1233
2015,"Iceland",11552
2015,"Norway",250
2016,"Faroe Islands",1072
2016,"Iceland",8583
2016,"Norway",230
2017,"Faroe Islands",829
2017,"Iceland",7692
2017,"Norway",244
