"year","bottom trawl","danish seine","gillnets","long line","Other"
2000,377,0,566,1624,6
2001,37,0,493,1661,0
2002,221,0,366,1504,0
2003,137,0,300,2404,143
2004,141,46,198,2640,150
2005,349,101,1,2323,180
2006,1157,0,641,3354,405
2007,400,76,0,3661,0
2008,819,15,357,5847,150
2009,516,0,410,9014,450
2010,1146,0,56,7322,1200
2011,1245,150,0,7248,750
2012,1411,150,85,11356,1337
2013,993,122,267,9405,1344
2014,2089,120,1286,6448,2964
2015,2615,0,1563,3315,3052
2016,2460,0,2039,2483,1212
2017,1963,0,485,1637,1226
